date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-04-24,91.3121,92.5006,90.2527,90.6747,8854664,8854664,1.6364,1.838,91.2148,"Apr 24, 14",0.08615348863952166
2014-04-25,90.4594,90.6704,88.9608,90.1666,5731929,5731929,-0.50815,-0.56,89.7037,"Apr 25, 14",0.08006717583586485
2014-04-28,90.4249,90.7953,88.9263,89.7962,4036278,4036278,-0.370348,-0.411,89.7608,"Apr 28, 14",0.07563031249700536
2014-04-29,90.2527,90.8642,89.4259,90.6919,4975836,4975836,0.895724,0.998,90.4217,"Apr 29, 14",0.08635952009046224
2014-04-30,90.6316,91.5015,90.4249,90.7781,5199251,5199251,0.086126,0.095,90.8227,"Apr 30, 14",0.08739207305971075
2014-05-01,90.6058,91.114,90.1149,90.4938,2972156,2972156,-0.284218,-0.313,90.6445,"May 1, 14",0.08398656483282697
2014-05-02,90.3733,90.9331,90.201,90.4422,2681072,2681072,-0.051675,-0.057,90.5238,"May 2, 14",0.08336847048000538
2014-05-05,90.1407,90.2613,89.4086,90.0201,3166362,3166362,-0.422025,-0.467,89.9741,"May 5, 14",0.07831231493105135
2014-05-06,89.7532,89.9771,89.2278,89.4603,2836263,2836263,-0.559829,-0.622,90.8056,"May 6, 14",0.0716067099173
2014-05-07,89.6584,90.1407,89.0814,90.1063,3400839,3400839,0.645958,0.722,89.7009,"May 7, 14",0.07934486790030001
2014-05-08,90.046,90.4508,89.7015,90.3819,3120874,3120874,0.275606,0.306,90.1958,"May 8, 14",0.08264616254444054
2014-05-09,90.3991,90.6919,89.8307,90.4852,2761803,2761803,0.10335,0.114,90.332,"May 9, 14",0.08388354910735685
2014-05-12,91.0451,91.7255,90.9934,91.4671,3664416,3664416,0.981852,1.085,91.4355,"May 12, 14",0.09564530967006224
2014-05-13,91.7255,93.1982,91.1398,92.2853,3951489,3951489,0.818208,0.895,94.7266,"May 13, 14",0.1054461778770137
2014-05-14,92.0269,92.1862,91.5532,91.7513,3082382,3082382,-0.533988,-0.579,91.7755,"May 14, 14",0.09904962003967306
2014-05-15,91.7169,91.9322,89.6067,90.4249,5156642,5156642,-1.3264,-1.446,90.4733,"May 15, 14",0.08316124117179184
2014-05-16,90.4766,91.3379,89.7187,91.3207,4403305,4403305,0.895722,0.991,90.9247,"May 16, 14",0.09389164662252168
2014-05-19,90.7953,90.89,90.1924,90.7695,3924366,3924366,-0.551214,-0.604,90.5613,"May 19, 14",0.08728905733424046
2014-05-20,90.2527,90.2699,86.7473,87.4708,9277628,9277628,-3.2987,-3.634,88.2467,"May 20, 14",0.04777533947275113
2014-05-21,87.4019,88.711,87.4019,88.6077,5460511,5460511,1.1369,1.3,88.2106,"May 21, 14",0.061393778808467366
2014-05-22,88.6249,89.4689,88.289,88.7799,3112324,3112324,0.172254,0.194,88.9753,"May 22, 14",0.06345648903241881
2014-05-23,88.8402,89.7015,88.8359,89.5981,2892130,2892130,0.818206,0.922,89.5034,"May 23, 14",0.07325735723937027
2014-05-27,89.7445,89.9857,89.1072,89.2967,3443352,3443352,-0.301442,-0.336,89.5078,"May 27, 14",0.06964701541881885
2014-05-28,89.1675,89.4517,88.5818,88.6335,3353846,3353846,-0.663182,-0.743,88.9495,"May 28, 14",0.061702825984878244
2014-05-29,88.9522,89.2838,88.3321,89.2278,3071583,3071583,0.59428,0.67,88.8892,"May 29, 14",0.06882169175778372
2014-05-30,88.6249,88.6938,87.4622,88.0478,5943740,5943740,-1.1799,-1.322,87.9086,"May 30, 14",0.054686975937443066
2014-06-02,88.2115,89.5206,87.8584,89.3656,3753729,3753729,1.3177,1.497,89.0071,"Jun 2, 14",0.07047233907985398
2014-06-03,89.0727,90.0589,88.7541,89.9943,3643708,3643708,0.628727,0.704,89.6331,"Jun 3, 14",0.07800326775464046
2014-06-04,89.934,90.5197,89.6326,89.8393,2880277,2880277,-0.155029,-0.172,90.1424,"Jun 4, 14",0.07614658898162961
2014-06-05,90.2613,92.2595,90.2363,92.1216,5396721,5396721,2.2824,2.541,91.6255,"Jun 5, 14",0.1034852855212596
2014-06-06,92.225,93.3274,92.1389,93.1724,4299600,4299600,1.0508,1.141,93.0769,"Jun 6, 14",0.11607236974500011
2014-06-09,92.7934,94.137,92.7245,93.6633,3904588,3904588,0.490924,0.527,93.5776,"Jun 9, 14",0.12195265109771651
2014-06-10,93.448,94.3093,93.3576,94.1456,4760218,4760218,0.482313,0.515,94.0263,"Jun 10, 14",0.12772991672496242
2014-06-11,93.8184,93.8614,93.3016,93.6116,2738753,2738753,-0.53399,-0.567,93.5859,"Jun 11, 14",0.1213333588876218
2014-06-12,93.4222,93.448,91.6738,91.8547,3413837,3413837,-1.757,-1.877,92.1873,"Jun 12, 14",0.10028820445986215
2014-06-13,91.7685,92.3542,91.3551,91.958,2009110,2009110,0.103351,0.113,91.8923,"Jun 13, 14",0.10152559102277846
2014-06-16,91.7255,92.0527,91.0623,91.9925,2137219,2137219,0.034452,0.037,91.6664,"Jun 16, 14",0.10193885178193259
2014-06-17,91.7341,92.1561,91.2948,91.8719,2138433,2138433,-0.120579,-0.131,91.7946,"Jun 17, 14",0.10049423591080274
2014-06-18,91.8374,92.6729,91.3379,92.5695,2218721,2218721,0.697633,0.759,92.1364,"Jun 18, 14",0.10885048824662452
2014-06-19,92.1475,92.5178,91.8891,92.3714,2592653,2592653,-0.198096,-0.214,92.283,"Jun 19, 14",0.10647753298898925
2014-06-20,93.0604,94.3351,92.7073,94.2059,7771201,7771201,1.8345,1.986,93.8886,"Jun 20, 14",0.12845222466052728
2014-06-23,94.094,94.6099,93.2671,93.6892,2839500,2839500,-0.516765,-0.549,93.682,"Jun 23, 14",0.12226289613140016
2014-06-24,93.4997,94.1715,92.1561,92.8537,2867655,2867655,-0.835432,-0.892,93.3427,"Jun 24, 14",0.11225479861623534
2014-06-25,92.5695,93.7753,92.4575,93.3963,2176188,2176188,0.542601,0.584,93.2863,"Jun 25, 14",0.11875437217904611
2014-06-26,93.4911,93.7064,92.8882,93.4652,1522940,1522940,0.068902,0.074,93.3093,"Jun 26, 14",0.11957969584008124
2014-06-27,93.3102,93.7753,92.7848,93.6892,3632056,3632056,0.223929,0.24,97.453,"Jun 27, 14",0.12226289613140016
2014-06-30,93.603,93.9045,92.9915,93.5944,2249520,2249520,-0.094739,-0.101,93.8285,"Jun 30, 14",0.1211273274366812
2014-07-01,93.9475,94.5246,93.8873,94.0251,2349546,2349546,0.430636,0.46,94.1003,"Jul 1, 14",0.12628649871110553
2014-07-02,94.1543,94.6969,94.137,94.361,1850198,1850198,0.335896,0.357,94.4086,"Jul 2, 14",0.13031010129081108
2014-07-03,94.6538,95.739,94.4729,95.6701,2876160,2876160,1.3091,1.387,95.3348,"Jul 3, 14",0.14599125085047876
2014-07-07,94.8949,95.1275,94.3696,94.8777,2697071,2697071,-0.792369,-0.828,94.8671,"Jul 7, 14",0.13649942981993818
2014-07-08,94.9208,95.0672,94.2232,94.2748,2453493,2453493,-0.60289,-0.635,94.4695,"Jul 8, 14",0.1292775483215624
2014-07-09,94.559,94.9897,94.2404,94.8605,2270652,2270652,0.585661,0.621,94.7225,"Jul 9, 14",0.1362933983689976
2014-07-10,93.138,94.3696,92.8451,94.1887,2303670,2303670,-0.67179,-0.708,93.8986,"Jul 10, 14",0.1282461932095867
2014-07-11,94.3093,94.7313,93.5772,94.7055,1992680,1992680,0.516763,0.549,94.3502,"Jul 11, 14",0.13443671959598674
2014-07-14,95.1103,95.6356,94.8174,94.8174,2375244,2375244,0.111967,0.118,95.0929,"Jul 14, 14",0.13577712188437333
2014-07-15,94.9552,95.1017,94.2232,94.6107,3212896,3212896,-0.206706,-0.218,94.5539,"Jul 15, 14",0.13330115090126776
2014-07-16,94.8949,95.9974,94.671,95.9457,3978544,3978544,1.335,1.411,95.5723,"Jul 16, 14",0.14929254549461926
2014-07-17,94.845,95.4864,94.5156,95.4864,2424943,2424943,-0.45933,-0.479,95.1566,"Jul 17, 14",0.14379078704014264
2014-07-18,94.845,95.4864,94.5156,95.4864,2424953,2424953,0,0,95.1566,"Jul 18, 14",0.14379078704014264
2014-07-21,95.339,95.8157,94.8623,95.5384,2076559,2076559,0.052003,0.054,95.4459,"Jul 21, 14",0.1444136728220559
2014-07-22,96.0671,96.4484,95.1657,95.391,2879870,2879870,-0.147341,-0.154,95.6651,"Jul 22, 14",0.14264803120178632
2014-07-23,95.157,95.3217,93.7876,93.9349,4479081,4479081,-1.4561,-1.526,94.2302,"Jul 23, 14",0.12520603145094056
2014-07-24,91.5255,92.0715,90.2167,91.0401,8690333,8690333,-2.8948,-3.082,90.9917,"Jul 24, 14",0.09053045911473552
2014-07-25,90.2601,91.3088,90.2254,90.8754,4126827,4126827,-0.164679,-0.181,90.8271,"Jul 25, 14",0.08855758818625244
2014-07-28,90.8148,90.9188,89.4193,90.2687,4474333,4474333,-0.6067,-0.668,89.9755,"Jul 28, 14",0.08129018811150611
2014-07-29,91.0054,92.2535,90.7368,90.7368,7947103,7947103,0.468027,0.518,91.298,"Jul 29, 14",0.08689735800599892
2014-07-30,91.0748,91.2828,89.298,89.6014,5861710,5861710,-1.1354,-1.251,89.7937,"Jul 30, 14",0.07329688652937626
